id,name,x1,y1,x2,y2
0,17552536,55,39,66,39
1,17552537,61,48,50,48
2,17552538,50,48,55,43
3,17552539,53,56,53,58
4,17552540,47,85,48,86
5,17552541,55,43,58,43
6,17552542,55,44,57,46
7,17552543,58,43,65,42
8,17552544,66,44,64,44
9,17552545,58,49,61,43
10,17552546,51,73,47,73
11,17552547,55,44,64,45
12,17552548,49,50,38,54
13,17552549,30,63,25,64
14,17552550,53,66,56,64
15,17552551,58,49,67,48
16,17552552,67,45,63,45
17,17552553,57,56,66,43
18,17552555,53,43,61,43
19,17552556,35,69,38,62
20,17552557,61,48,58,49
21,17552558,63,52,63,43
22,17552559,28,55,49,53
23,17552560,51,59,46,54
24,17552562,42,70,46,63
25,17552561,59,44,59,47
26,17552563,59,43,64,49
27,17552564,61,46,64,48
28,17552565,59,43,66,45
29,17552566,59,43,58,49
30,17552567,57,46,59,44
31,17552568,59,43,50,43
32,17552569,86,17,76,17
33,17552570,61,43,66,41
34,17552571,43,52,65,42
35,17552572,47,61,54,54
36,17552573,66,39,60,44
37,17552574,65,45,58,45
38,17552575,65,47,61,45
39,17552576,57,59,54,59
40,17552577,60,49,67,49
41,17552578,77,14,76,17
42,17552581,51,57,46,54
43,17552582,53,62,57,61
44,17552583,86,17,71,36
45,17552584,60,62,57,56
46,17552585,62,50,62,53
47,17552586,51,70,44,70
48,17552587,50,41,56,41
49,17552588,72,47,64,44
50,17552589,57,56,46,54
51,17552591,56,64,57,62
52,17552592,51,61,55,64
53,17552593,60,49,67,48
54,17552595,55,44,55,43
55,17552594,68,45,63,43
56,17552596,56,47,60,46
57,17552597,63,39,48,39
58,17552598,34,57,34,56
59,17552599,61,55,62,53
60,17552600,63,40,64,45
61,17552601,51,40,46,40
62,17552602,37,53,38,54
63,17552603,66,44,63,44
64,17552604,52,43,59,44
65,17552605,46,72,46,63
66,17552606,58,43,53,43
67,17552607,55,43,60,42
68,17552608,58,52,60,49
69,17552609,53,56,54,55
70,17552610,67,40,63,43
71,17552611,55,42,56,41
72,17552612,41,52,41,53
73,17552613,67,49,52,44
74,17552614,58,50,61,46
75,17552615,53,71,61,55
76,17552616,62,42,60,43
77,17552617,62,42,64,49
78,17552618,63,40,54,44
79,17552619,59,43,66,44
80,17552620,62,42,59,44
81,17552621,63,45,67,48
82,17552622,52,42,59,43
83,17552623,59,43,65,46
84,17552624,62,49,59,44
85,17552625,60,53,65,46
86,17552626,62,42,53,43
87,17552627,59,43,66,43
88,17552628,59,43,46,41
89,17552629,68,45,63,45
90,17552630,59,44,66,42
